x,y
1112,0.592157
1113,0.592616
1114,0.593075
1115,0.593534
1116,0.593992
1117,0.59445
1118,0.594909
1119,0.595367
1120,0.595824
1121,0.596282
1122,0.596739
1123,0.597197
1124,0.597654
1125,0.598111
1126,0.598567
1127,0.599024
1128,0.59948
1129,0.599936
1130,0.600392
1131,0.600847
1132,0.601303
1133,0.601758
1134,0.602213
1135,0.602668
1136,0.603123
1137,0.603577
1138,0.604032
1139,0.604486
1140,0.60494
1141,0.605393
1142,0.605847
1143,0.6063
1144,0.606753
1145,0.607206
1146,0.607659
1147,0.608111
1148,0.608564
1149,0.609016
1150,0.609468
1151,0.609919
1152,0.610371
1153,0.610822
1154,0.611273
1155,0.611724
1156,0.612175
1157,0.612626
1158,0.613076
1159,0.613526
1160,0.613976
1161,0.614426
1162,0.614875
1163,0.615325
1164,0.615774
1165,0.616223
1166,0.616671
1167,0.61712
1168,0.617568
1169,0.618016
1170,0.618464
1171,0.618912
1172,0.61936
1173,0.619807
1174,0.620254
1175,0.620701
1176,0.621148
1177,0.621594
1178,0.622041
1179,0.622487
1180,0.622933
1181,0.623378
1182,0.623824
1183,0.624269
1184,0.624714
1185,0.625159
1186,0.625604
1187,0.626048
1188,0.626493
1189,0.626937
1190,0.627381
1191,0.627824
1192,0.628268
1193,0.628711
1194,0.629154
1195,0.629597
1196,0.63004
1197,0.630482
1198,0.630925
1199,0.631367
1200,0.631808
1201,0.63225
1202,0.632692
1203,0.633133
1204,0.633574
1205,0.634015
1206,0.634455
1207,0.634896
1208,0.635336
1209,0.635776
1210,0.636216
1211,0.636655
1212,0.637095
1213,0.637534
1214,0.637973
1215,0.638411
1216,0.63885
1217,0.639288
1218,0.639727
1219,0.640164
1220,0.640602
1221,0.64104
1222,0.641477
1223,0.641914
1224,0.642351
1225,0.642788
1226,0.643224
1227,0.64366
1228,0.644096
1229,0.644532
1230,0.644968
1231,0.645403
1232,0.645838
1233,0.646273
1234,0.646708
1235,0.647143
1236,0.647577
1237,0.648011
1238,0.648445
1239,0.648879
1240,0.649313
1241,0.649746
1242,0.650179
1243,0.650612
1244,0.651045
1245,0.651477
1246,0.651909
1247,0.652341
1248,0.652773
1249,0.653205
1250,0.653636
1251,0.654067
1252,0.654498
1253,0.654929
1254,0.65536
1255,0.65579
1256,0.65622
1257,0.65665
1258,0.65708
1259,0.657509
1260,0.657939
1261,0.658368
1262,0.658797
1263,0.659225
1264,0.659654
1265,0.660082
1266,0.66051
1267,0.660938
1268,0.661365
1269,0.661793
1270,0.66222
1271,0.662647
1272,0.663073
1273,0.6635
1274,0.663926
1275,0.664352
1276,0.664778
1277,0.665204
1278,0.665629
1279,0.666054
1280,0.666479
1281,0.666904
1282,0.667329
1283,0.667753
1284,0.668177
1285,0.668601
1286,0.669025
1287,0.669448
1288,0.669871
1289,0.670294
1290,0.670717
1291,0.67114
1292,0.671562
1293,0.671984
1294,0.672406
1295,0.672828
1296,0.67325
1297,0.673671
1298,0.674092
1299,0.674513
1300,0.674933
1301,0.675354
1302,0.675774
1303,0.676194
1304,0.676614
1305,0.677033
1306,0.677453
1307,0.677872
1308,0.678291
1309,0.678709
1310,0.679128
1311,0.679546
1312,0.679964
1313,0.680382
1314,0.680799
1315,0.681216
1316,0.681634
1317,0.68205
1318,0.682467
1319,0.682884
1320,0.6833
1321,0.683716
1322,0.684132
1323,0.684547
1324,0.684962
1325,0.685378
1326,0.685792
1327,0.686207
1328,0.686622
1329,0.687036
1330,0.68745
1331,0.687864
1332,0.688277
1333,0.68869
1334,0.689103
1335,0.689516
1336,0.689929
1337,0.690341
1338,0.690754
1339,0.691166
1340,0.691577
1341,0.691989
1342,0.6924
1343,0.692811
1344,0.693222
1345,0.693633
1346,0.694043
1347,0.694453
1348,0.694863
1349,0.695273
1350,0.695683
1351,0.696092
1352,0.696501
1353,0.69691
1354,0.697318
1355,0.697727
1356,0.698135
1357,0.698543
1358,0.69895
1359,0.699358
1360,0.699765
1361,0.700172
1362,0.700579
